URL,Version,Status,OIDs,Name,Title,Description,Used
http://nphcda.gov.ng/ig/fhir/CodeSystem/ng-administrative-ward,0.4.0,active,,NGWardsCS,NG Administrative Wards,"This CodeSystem defines ward codes and names mapped to their respective Local Government Areas (LGAs) in Nigeria.","ValueSet/nigeria-wards"
http://nphcda.gov.ng/ig/fhir/CodeSystem/ng-allergy-severity,0.4.0,active,,NigeriaAllergySeverityCS,NG Reaction Severity,"This CodeSystem captures the assessed severity of an allergic reaction following immunization.","ValueSet/nigeria-allergy-severity"
http://nphcda.gov.ng/ig/fhir/CodeSystem/ng-clinical-status,0.4.0,active,,NGClinicalStatusCS,NG Adverse Event Clinical Status,"A classification system that represents the current clinical status of an individual who experienced an Adverse Event Following Immunization (AEFI), based on medical observation, investigation, or follow-up assessment.","ValueSet/nigeria-clinical-status"
http://nphcda.gov.ng/ig/fhir/CodeSystem/ng-contraindication,0.4.0,active,,NGImmunizationContraindicationCS, NG Vaccine contraindications,"A set of standardized codes used to represent clinical conditions, diagnoses, or circumstances that serve as contraindications to the administration of one or more vaccines.","ValueSet/nigeria-vaccine-contraindication"
http://nphcda.gov.ng/ig/fhir/CodeSystem/ng-facility-typeCS,0.4.0,active,,NGFacilityTypeCS,NG Facility Type,"A standardized classification system used to describe the type or level of health facility within a healthcare delivery system, based on the scope of services provided, staffing, infrastructure, and administrative role.","ValueSet/nigeria-facility-types"
http://nphcda.gov.ng/ig/fhir/CodeSystem/ng-gender,0.4.0,active,,NGGenderCS,NG Gender or Sex,"Codes for the administrative gender or sex of a person, used in demographic and administrative contexts.","ValueSet/nigeria-gender"
http://nphcda.gov.ng/ig/fhir/CodeSystem/ng-hiv-statusCS,0.4.0,active,,NGHivStatusCS,NG Client HIV status,"This CodeSystem defines list of options for HIV status of a Client","ValueSet/nigeria-hiv-status"
http://nphcda.gov.ng/ig/fhir/CodeSystem/ng-immunization-site,0.4.0,active,,NGImmunizationSiteCS,NG Vaccine Site,"This CodeSystem captures the specific anatomical location on the patient’s body where a vaccine was administered.","ValueSet/nigeria-vaccine-site"
http://nphcda.gov.ng/ig/fhir/CodeSystem/ng-lgas,0.4.0,active,,NGLGAsCS,NG LGAs in Nigeria,"This CodeSystem defines LGA codes and names mapped to their respective States in Nigeria.","ValueSet/nigeria-lgas"
http://nphcda.gov.ng/ig/fhir/CodeSystem/ng-pregnancy-statusCS,0.4.0,active,,NGPregnancyStatusCS,NG Client Pregnancy status,"This CodeSystem defines list of options for Pregnancy status of a Client","ValueSet/nigeria-pregnancy-status"
http://nphcda.gov.ng/ig/fhir/CodeSystem/ng-session-type,0.4.0,active,,NGImmunizationSessionTypeCS,NG Immunization Session types,"A standardized classification of vaccine types administered for the prevention of specific diseases, identified by the antigen or disease target (e.g., BCG, HepB, OPV, Pentavalent, MR).","ValueSet/nigeria-session-type"
http://nphcda.gov.ng/ig/fhir/CodeSystem/ng-sibling-health-statusCS,0.4.0,active,,NGSiblingHealthStatusCS,NG Sibling Health Status,"This CodeSystem defines list of relationships that a part of this IG","ValueSet/nigeria-sibling-health-status"
http://nphcda.gov.ng/ig/fhir/CodeSystem/ng-states,0.4.0,active,,NGStatesCS,NG States in Nigeria,"This CodeSystem defines ward codes and names mapped to their respective States in Nigeria.","ValueSet/nigeria-states"
http://nphcda.gov.ng/ig/fhir/CodeSystem/ng-vaccine-libraryCS,0.4.0,active,,NGVaccineLibraryCS,NG Vaccine Library with SNOMED CT codes,"CodeSystem for IMMZ.Z Vaccine Library Data Elements supported by this IG using SNOMED CT codes","ValueSet/nigeria-vaccine-library"
